source,agg,lam_rel,beta,target,dG,dH,dI,d_pooled
cachedE20_full,dmean,0.1,1.0,C9,-0.4878260869565217,-0.0852173913043478,-0.03565217391304348,-0.2145797157373465
cachedE20_full,dmean,0.03,0.0,C1,-0.6304347826086956,-0.3521739130434782,0.36869565217391304,-0.24200913242009137
cachedE20_full,dmean,0.03,0.0,C2,-0.4765217391304347,-0.26695652173913037,-0.0634782608695652,-0.235256286577915
cachedE20_full,dmean,0.03,0.0,C3,-0.22869565217391297,0.42956521739130427,-0.3513043478260869,-0.08084121165348257
cachedE20_full,dmean,0.03,0.0,C4,0.1660869565217391,-0.9730434782608695,-0.4252173913043477,-0.495305164319249
cachedE20_full,dmean,0.03,0.0,C5,-0.21739130434782614,-0.24608695652173906,-0.4156521739130435,-0.34339828927905336
cachedE20_full,dmean,0.03,0.0,C6,-0.018260869565217393,0.052173913043478265,-0.48521739130434777,-0.1519390314489678
cachedE20_full,dmean,0.03,0.0,C7,0.1547826086956522,0.21826086956521734,-0.05304347826086954,0.11190430252749378
cachedE20_full,dmean,0.03,0.0,C8,0.3739130434782608,-0.45391304347826084,-0.1443478260869565,-0.07965142452890864
cachedE20_full,dmean,0.03,0.0,C9,-0.408695652173913,0.10173913043478258,0.0834782608695652,-0.115409351083671
cachedE20_full,dmean,0.03,0.5,C1,-0.4652173913043477,-0.26347826086956516,0.3756521739130434,-0.1789504148176732
cachedE20_full,dmean,0.03,0.5,C2,-0.3095652173913043,-0.1704347826086956,0.04260869565217393,-0.09598688018522093
cachedE20_full,dmean,0.03,0.5,C3,-0.2669565217391304,0.43999999999999995,-0.45565217391304347,-0.08769052672197572
cachedE20_full,dmean,0.03,0.5,C4,-0.06869565217391302,-0.9373913043478259,-0.2756521739130434,-0.4635667888610201
cachedE20_full,dmean,0.03,0.5,C5,-0.2617391304347827,-0.09217391304347824,-0.4017391304347826,-0.306804296096212
cachedE20_full,dmean,0.03,0.5,C6,-0.05739130434782608,0.15130434782608695,-0.508695652173913,-0.14965592642613676
cachedE20_full,dmean,0.03,0.5,C7,0.15391304347826085,0.29565217391304344,0.06521739130434787,0.19316354749501577
cachedE20_full,dmean,0.03,0.5,C8,0.3452173913043478,-0.5278260869565217,-0.17565217391304347,-0.1454434368769696
cachedE20_full,dmean,0.03,0.5,C9,-0.2243478260869565,0.03217391304347825,-0.017391304347826098,-0.1292044504469741
cachedE20_full,dmean,0.03,1.0,C1,-0.4652173913043477,-0.19043478260869562,0.3539130434782608,-0.17547752267026823
cachedE20_full,dmean,0.03,1.0,C2,-0.2382608695652174,-0.128695652173913,0.24869565217391304,0.005498745900057889
cachedE20_full,dmean,0.03,1.0,C3,-0.15913043478260874,0.48521739130434777,-0.5382608695652173,-0.03267091131262463
cachedE20_full,dmean,0.03,1.0,C4,-0.1426086956521739,-0.9904347826086954,-0.4652173913043477,-0.5232169271335778
cachedE20_full,dmean,0.03,1.0,C5,-0.3469565217391305,0.12956521739130433,-0.4643478260869565,-0.2565759855939289
cachedE20_full,dmean,0.03,1.0,C6,-0.17913043478260868,0.1208695652173913,-0.5513043478260868,-0.1558942697279568
cachedE20_full,dmean,0.03,1.0,C7,0.09391304347826085,0.4113043478260869,0.19043478260869567,0.24085150170428973
cachedE20_full,dmean,0.03,1.0,C8,0.2469565217391304,-0.5356521739130434,-0.11130434782608692,-0.15592642613672908
cachedE20_full,dmean,0.03,1.0,C9,-0.23130434782608691,-0.11739130434782608,-0.06608695652173915,-0.15775934143674838
cachedE20_full,dmean,0.01,0.0,C1,-0.7443478260869564,-0.4130434782608695,0.408695652173913,-0.28882886359251403
cachedE20_full,dmean,0.01,0.0,C2,-0.4930434782608695,-0.26782608695652166,-0.16782608695652168,-0.2500160782043862
cachedE20_full,dmean,0.01,0.0,C3,-0.25565217391304346,0.4147826086956521,-0.3782608695652173,-0.08010161425172041
cachedE20_full,dmean,0.01,0.0,C4,-0.06347826086956523,-0.9504347826086954,-0.2991304347826086,-0.4795485240208375
cachedE20_full,dmean,0.01,0.0,C5,-0.202608695652174,-0.148695652173913,-0.28956521739130436,-0.2734581001993698
